"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 2","059567"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 2","350136"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 2","374507"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 2","624546"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 2","935603"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","144030"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","501630"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","551939"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","815963"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","904909"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","379125"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","551057"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2562","510541","116 382","140 250","81","510540 510542","รางวัลที่ 3","729960"
