"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","622313"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","935033"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","116942"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","321809"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","466731"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","642938"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","936438"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","194222"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","327943"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","470005"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","673974"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","978301"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","214301"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","346789"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","470481"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","685719"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","981261"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","216796"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","354907"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","491996"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","695668"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 4","982989"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","057409"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","259475"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","439465"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","601013"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","779588"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","057524"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","262021"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","439944"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","627803"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","787897"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","058267"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","269937"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","441043"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","632950"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","803818"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","063367"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","289350"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","448198"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","633400"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","831429"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","082863"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","292539"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","452025"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","643544"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","836896"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","085471"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","307677"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","476484"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","651211"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","845978"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","092819"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","314106"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","478407"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","660809"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","852772"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","135776"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","319382"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","486807"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","666470"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","867761"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","142101"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","339237"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","490011"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","666982"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","874718"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","167476"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","340276"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","492471"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","668905"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","885610"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","180088"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","348486"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","498291"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","677198"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","888515"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","185619"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","349220"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","525759"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","700314"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","905251"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","215845"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","370030"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","537028"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","704503"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","923841"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","223064"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","370270"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","537696"
"ตรวจสลากกินแบ่งรัฐบาล งวด 16 กันยายน 2563","244083","127 220","623 853","57","244082 244084","รางวัลที่ 5","714654"
