"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 2","343328"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 2","543268"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 2","587804"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 2","690256"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 2","816492"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 3","009764"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 3","463963"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 3","695166"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 3","763512"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 3","901994"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 3","417994"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2558","008217","246 264","596 895","02","008216 008218","รางวัลที่ 3","547641"
