"month_period","month_first_prize_number","month_three_front_number","month_three_tail_number","month_two_tail_number","month_beside_first_prize_number","month_other_prize_list","month_other_prize_number_list"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 2","031880"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 2","466182"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 2","548097"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 2","838262"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 2","990824"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","049590"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","237012"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","348399"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","505873"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","790330"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","063523"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","259642"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","393875"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","619013"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 3","854304"
"ตรวจสลากกินแบ่งรัฐบาล งวด 30 ธันวาคม 2561","735867","031 913","701 884","02","735866 735868","รางวัลที่ 4","018432"
